a_team,h_team,a_ML,h_ML,Game_id,Home_team_gen_avg_penalties,Home_team_gen_avg_rush_yards,Home_team_gen_avg_time_of_possesion,Home_team_gen_avg_turnovers,Home_team_gen_avg_pass_yards,Home_team_gen_avg_score,Home_team_gen_avg_points_allowed,Away_team_gen_avg_penalties,Away_team_gen_avg_rush_yards,Away_team_gen_avg_time_of_possesion,Away_team_gen_avg_turnovers,Away_team_gen_avg_pass_yards,Away_team_gen_avg_score,Away_team_gen_avg_points_allowed,Date,Season,h_elo_pre,a_elo_pre
Los Angeles Chargers,Oakland Raiders,-125,-105,201911070rai.htm,8.625,136.375,3021.875,1,245.25,22.75,27,6.444444444,79.44444444,3036.444444,1.444444444,281.3333333,19.66666667,18.66666667,20191107,2019,1451.227479,1535.147006
Detroit Lions,Chicago Bears,110,-145,201911100chi.htm,7.5,80.5,2839.25,1.125,186.25,17.75,18,7.75,96,2986.25,1.375,295.25,25.125,26.75,20191110,2019,1528.433805,1471.037641
New York Giants,New York Jets,-125,-105,201911100nyj.htm,8.75,66.25,2743.625,2.125,157.25,12,26.375,6.111111111,102.1111111,2852.111111,2.444444444,224.6666667,19.55555556,28.33333333,20191110,2019,1308.91391,1345.645418
Atlanta Falcons,New Orleans Saints,230,-320,201911100nor.htm,6.625,114.25,3313,0.75,261,24.375,19.5,8.375,68.5,2880.25,1.875,316.75,20.625,31.25,20191110,2019,1677.668776,1401.747072
Baltimore Ravens,Cincinnati Bengals,-200,150,201911100cin.htm,6.625,59.5,2734,1.875,257.75,15.5,26.25,7.125,204.875,3553.625,1.125,222.125,31,22,20191110,2019,1313.380842,1637.030925
Buffalo Bills,Cleveland Browns,110,-145,201911100cle.htm,9.375,121,2906,2.125,225,19,25.625,7.625,129.375,3022.75,1.5,206.625,19.75,16.375,20191110,2019,1429.564998,1497.454912
Kansas City Chiefs,Tennessee Titans,NaN,NaN,201911100oti.htm,7,100.7777778,2967.222222,1,212.8888889,18.66666667,18.33333333,6.777777778,90.11111111,2770.666667,1,300.6666667,28,22.66666667,20191110,2019,1488.967355,1606.973039
Arizona Cardinals,Tampa Bay Buccaneers,145,-190,201911100tam.htm,8.5,99.25,3124.875,2.25,277.375,28.75,30.75,8.111111111,120.5555556,2727.111111,0.444444444,223.8888889,21.33333333,27.55555556,20191110,2019,1435.465664,1375.140838
Miami Dolphins,Indianapolis Colts,220,-300,201911100clt.htm,6.25,129.75,3127.5,1.25,213.875,22.75,21.375,5.625,63.75,2692.125,2.125,198.5,12.875,32,20191110,2019,1576.622114,1336.399573
Carolina Panthers,Green Bay Packers,145,-190,201911100gnb.htm,6.444444444,95.33333333,3094.333333,0.777777778,257.1111111,25.11111111,21,5.75,132.875,2865.875,1.625,206.875,26.125,25.5,20191110,2019,1557.008574,1551.921945
Los Angeles Rams,Pittsburgh Steelers,-145,110,201911100pit.htm,6.5,88.375,2851.875,1.375,202.375,22,20.75,7.625,97.25,2857.5,1.5,287.25,26.75,21.75,20191110,2019,1564.609855,1589.854923
Minnesota Vikings,Dallas Cowboys,120,-160,201911100dal.htm,8,149.25,2937.25,1.375,287.5,28.375,17.75,7.111111111,153,3018.666667,1.111111111,233.5555556,26,17.55555556,20191110,2019,1577.508897,1606.190558
Seattle Seahawks,San Francisco 49ers,155,-210,201911110sfo.htm,5.875,171.125,3436.375,1.5,219.125,29.375,12.75,6.888888889,131.6666667,3111.555556,1,263.4444444,26.88888889,25.55555556,20191111,2019,1617.762632,1583.227503